State,Year,total_emissions_excluding_lucf,total_emissions_including_lucf,total_co2,total_ch4,total_n2o,total_f_gas,emission_by_energy,emission_by_industrial,emission_by_agriculture,emission_by_waste,emission_by_forestry,emission_by_bunker_fuel,emission_sub_electric,emission_sub_commercial,emission_sub_residential,emission_sub_industrial,emission_sub_transportation,emission_sub_fugitive,state_gdp,population,total_energy_use
Alabama,1990,142.6596173,100.2894252,108.7964039,30.3826084,5.4995939,0.5684567,121.2733409,2.5338356,6.3239897,5.5025423,-48.2956099,0.0,51.3916009,2.3174761,3.1945076,21.3945825,28.6849649,21.3983836,83766.0,4050055.0,41970.97941
Alabama,1991,146.5712282,104.8887123,112.8281644,30.0860005,5.495659,0.551307,125.0809921,2.4871053,6.1764012,5.6948112,-48.4412625,0.022603908,55.3707234,1.9094394,3.1228425,21.5710751,29.2994633,21.0886431,86115.0,4099156.0,42409.62845
Alabama,1992,152.7041185,112.7517324,119.4407324,28.9611064,5.6397422,0.5793626,130.6798637,2.4897182,6.2060175,5.9669233,-48.2199013,0.022894892,58.1824244,2.008612,3.3176036,24.1210089,30.099162,19.767581,89814.0,4154014.0,44186.34984
Alabama,1993,156.1671559,109.163465,123.7996805,27.0317022,6.013421,0.6447658,132.8649808,3.0379275,6.5157204,6.0321451,-53.287276,0.020905596,64.1934895,1.9578865,3.4994458,22.2733976,30.1664364,17.6848014,91168.0,4214202.0,45543.39747
Alabama,1994,156.4085941,108.7253201,122.2413427,29.6655078,5.7149803,0.7766258,132.9197674,3.3492963,6.2277882,6.1824399,-53.7638023,0.022805487,60.1045691,1.9613428,3.3748822,23.1362753,31.406455,20.1360231,94803.0,4260229.0,47841.19572
Alabama,1995,166.5692763,122.7368256,129.7310248,32.4717722,5.6981661,1.0533428,142.2239076,3.5256031,6.223966,6.3293613,-52.7576839,0.020169326,65.8083178,1.8736957,3.3852405,23.7374564,32.9092051,22.7364862,98024.0,4296800.0,49704.60365
Alabama,1996,171.1134205,127.8494191,135.6124428,30.0515443,5.8699722,1.2448633,146.1319226,3.6972242,6.2984441,6.472179,-53.0518253,0.016045263,71.0871374,2.0625597,3.8007992,24.4369832,32.3361531,20.2374052,101379.0,4331102.0,50526.05947
Alabama,1997,169.6632061,127.3837972,135.9882144,27.8097517,5.6439113,1.4240559,142.6640394,5.6530112,5.8467883,6.5988873,-52.2027073,0.016268954,69.4406028,2.3005315,3.3726079,24.4739026,31.988477,18.2492957,122541.0,4367935.0,49709.36637
Alabama,1998,167.7254046,125.2636963,133.8736536,27.8343272,5.7718302,1.5187638,140.4503588,5.8428945,5.9021314,6.7146268,-52.0344232,0.013043265,70.4240386,1.8117768,3.1318165,21.806119,32.5774057,18.2821824,126309.0,4404701.0,50864.86779
Alabama,1999,168.8333989,126.8117918,135.7383937,27.0238223,5.4726202,1.6782872,142.1679179,5.7593455,5.5673988,6.4167474,-51.903439,0.002419978,71.5661695,2.0819096,3.3375869,21.9768565,32.8792784,17.8668142,130898.0,4430141.0,51950.13798
Alabama,2000,174.6746211,133.2938534,141.6002013,26.9722193,5.2445121,1.7654173,147.8009219,5.8412186,5.3458319,6.4789548,-52.3478704,0.007422068,76.4869603,2.141831,3.6869123,21.44663,34.1550648,17.8601625,132699.0,4452173.0,53212.4604
Alabama,2001,165.1486963,121.4009301,133.4470234,25.3795153,5.3064479,1.8429676,138.480264,5.8682772,5.4097096,6.7914729,-52.4891191,0.012839181,73.6970434,2.0588365,3.5497115,18.5291879,32.0783786,16.255004,133888.0,4467634.0,48332.08348
Alabama,2002,168.7894029,124.91348,138.7733803,23.2952688,5.0404459,1.9114278,141.3938692,6.2840353,5.2756783,7.0259595,-53.1012977,0.008210844,77.2070016,1.8968407,3.2621025,18.507887,33.8688068,14.008599,137086.0,4480089.0,49868.19931
Alabama,2003,170.3943794,126.7772231,139.9872483,23.6897333,5.0381886,1.9616502,142.4099985,6.5770621,5.4438833,6.9268203,-53.1683961,0.007670649,77.9445487,2.0023394,3.1056702,19.5791142,32.7679854,14.3352828,140020.0,4503491.0,49674.94375
