state,column,EPA2018_WRI2018_ratio,status
Alabama,total_emissions_excluding_lucf,1.001702,spliced
Alabama,total_emissions_including_lucf,1.228346,spliced
Alabama,total_co2,0.970036,spliced
Alabama,total_ch4,1.281384,spliced
Alabama,total_n2o,0.911414,spliced
Alabama,total_f_gas,1.103318,spliced
Alabama,emission_by_energy,0.948323,spliced
Alabama,emission_by_industrial,0.735964,spliced
Alabama,emission_by_agriculture,0.848684,spliced
Alabama,emission_by_waste,1.511273,spliced
Alabama,emission_by_forestry,0.79471,spliced
Alabama,emission_sub_electric,1.016041,spliced
Alabama,emission_sub_commercial,0.943845,spliced
Alabama,emission_sub_residential,0.988035,spliced
Alabama,emission_sub_industrial,0.840639,spliced
Alabama,emission_sub_transportation,0.969652,spliced
Alabama,emission_sub_fugitive,1.290617,spliced
Alaska,total_emissions_excluding_lucf,0.86131,spliced
Alaska,total_emissions_including_lucf,0.200246,spliced
Alaska,total_co2,0.865613,spliced
Alaska,total_ch4,0.745038,spliced
Alaska,total_n2o,0.987766,spliced
Alaska,total_f_gas,1.116806,spliced
Alaska,emission_by_energy,0.82139,spliced
Alaska,emission_by_industrial,0.344414,spliced
Alaska,emission_by_agriculture,0.486831,spliced
Alaska,emission_by_waste,2.045007,spliced
Alaska,emission_by_forestry,11.978561,spliced
Alaska,emission_sub_electric,1.004239,spliced
Alaska,emission_sub_commercial,0.947683,spliced
Alaska,emission_sub_residential,0.921953,spliced
Alaska,emission_sub_industrial,1.006935,spliced
Alaska,emission_sub_transportation,0.596986,spliced
Alaska,emission_sub_fugitive,0.731887,spliced
Arizona,total_emissions_excluding_lucf,1.087047,spliced
Arizona,total_emissions_including_lucf,1.138215,spliced
Arizona,total_co2,1.044664,spliced
Arizona,total_ch4,1.127606,spliced
Arizona,total_n2o,2.649157,spliced
Arizona,total_f_gas,0.992512,spliced
Arizona,emission_by_energy,1.053506,spliced
Arizona,emission_by_industrial,0.611197,spliced
Arizona,emission_by_agriculture,1.543693,spliced
Arizona,emission_by_waste,0.89559,spliced
Arizona,emission_by_forestry,1.0,"NO OVERLAP (WRI2018=-0.61288441, EPA2018=4.6197); left untouched"
Arizona,emission_sub_electric,1.010899,spliced
Arizona,emission_sub_commercial,0.937791,spliced
Arizona,emission_sub_residential,0.979831,spliced
Arizona,emission_sub_industrial,0.956308,spliced
Arizona,emission_sub_transportation,1.095028,spliced
Arizona,emission_sub_fugitive,26.068581,spliced
Arkansas,total_emissions_excluding_lucf,1.035501,spliced
Arkansas,total_emissions_including_lucf,1.060798,spliced
Arkansas,total_co2,0.976513,spliced
Arkansas,total_ch4,1.635351,spliced
Arkansas,total_n2o,0.786247,spliced
Arkansas,total_f_gas,0.975,spliced
Arkansas,emission_by_energy,0.986827,spliced
Arkansas,emission_by_industrial,0.230161,spliced
Arkansas,emission_by_agriculture,1.13454,spliced
Arkansas,emission_by_waste,0.981907,spliced
